공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01698310,2026-09-01,전북특별자치도 전주시 완산구,2026년 7차분 하수도 긴급보수공사(단가계약),(유)성제건설,87763720,90.206,98000000
R26BK01699544,2026-09-01,충청남도 천안시 공원녹지사업본부,태학산 자연휴양림 확장사업(숲속의집)(소방),하이스산업(주),119514000,90.524,130717000
R26BK01681502,2026-09-01,직지농업협동조합,직지농협 산지유통센터 신축 및 증축공사(토목공사),주식회사 고명건설,248000000,65.263,
R26BK01690228,2026-09-01,경상남도 고성군 영현면,평촌마을 공동주차장 조성사업,에스제이건설 주식회사,22534410,90.297,25170000
R26BK01699823,2026-09-01,경상남도 고성군,임포항 먹거리촌 정비사업(부지정지) 견적 제출 공고,주식회사 호림건설,179059000,90.341,198000000
R26BK01694791,2026-09-01,국립백두대간수목원,2026년 국립백두대간수목원 산림환경연구동 외부 마감재 철거공사,(주)대지원,151797000,90.364,166496000
R26BK01698346,2026-09-01,충청북도 음성군,2025년 과수거점APC지원사업(보완)_회의실 리모델링 건축공사,주식회사 다솔,269610920,90.233,297176000
R26BK01695292,2026-09-01,해양수산부 국립수산과학원 남동해수산연구소,모래여과기 설치 및 해수배관 교체 공사,경원산업,56928525,90.282,63000000
R26BK01699873,2026-09-01,경기도 남양주시 상하수도관리센터,2026년 하반기 하수관로 맨홀펌프장 긴급복구 단가공사 2차,덕현건설(주),83510899,90.155,92437000
R26BK01700122,2026-09-01,경기도 연천군,"전곡제일풍경채 다함께돌봄센터 인테리어 공사(건축,기계)",다올산업주식회사,56601000,90.153,63398000
R26BK01699299,2026-09-01,부산광역시교육청 부산광역시서부교육지원청,보림초등학교 등 2교(하남중) 수배전반교체 및 기타 전기공사,(주)케이제이에스,78715371,90.336,87109000
R26BK01694987,2026-09-01,국립공원공단 북한산국립공원사무소,2026년 북한산국립공원 육상탄소흡수원 구축공사,주식회사 대산조경개발,162523800,90.21,180000000
R26BK01699593,2026-09-01,충청남도 천안시 공원녹지사업본부,태학산 자연휴양림 확장사업(숲속의집)(통신),주식회사 테라이에프씨,119373800,90.426,131943000
R26BK01695305,2026-09-01,경찰청 경상북도경찰청,김천경찰서 직지파출소 외 2개소 내진보강 건축공사,삼아종합건축 주식회사,430388271,90.328,475102000
R26BK01690725,2026-09-01,한국농어촌공사 경남지역본부 고성.통영.거제지사,2026년 거제권역 친환경에너지보급사업 공기열히트펌프 설치공사,주식회사 도은공조,782598857,89.95,880132000
R26BK01698880,2026-09-01,경상남도 합천군 농업기술센터,2025년 7.16.-20. 집중호우 산사태 재해복구사업 （용주봉기지구 외),의령군산림조합,227531300,90.363,252619000
R26BK01682787,2026-09-01,한국철도공사 회계통합센터,"경부선 평택-성환(하1,2) 작업자 이동통로 설치공사(총체 및 1차)",아이지종합건설 주식회사,2483801950,89.321,2785165000
R26BK01698933,2026-09-01,경상남도 합천군 농업기술센터,2025년 7.16.~20. 집중호우 산사태 재해복구사업 （가회외사지구 외）,태영산업개발주식회사,206598000,90.317,228588000
R26BK01700156,2026-09-01,홍성군산림조합,2026년 덩굴제거사업 2-2지구,그린랜드 주식회사,25583900,89.946,28260000
R26BK01689586,2026-09-01,충청남도교육청 충청남도공주교육지원청,공주여자고등학교 공간재구조화 증축 소방시설공사,株式會社 진영전기,459054568,90.368,508671000
R26BK01701536,2026-09-01,서울특별시교육청 서울특별시강남서초교육지원청,개포고 비탈면 보수공사,(주)치산치수,49095000,90.0,
R26BK01697591,2026-09-01,대전광역시교육청 대전광역시동부교육지원청,대전대문중 등 2교(신탄진용정초) 드라이비트 개선 및 기타 전기공사,(주)세방전기,15200267,90.177,17037000
R26BK01700264,2026-09-01,경상북도 영주시,진호창고 인근 공영주차장 기존건축물 철거공사,(주)대신환경,165754300,90.834,181371000
R26BK01699640,2026-09-01,부산광역시 기장군,2026년 하반기 관내 어항 및 연안시설물 정비(단가계약),재흥건설 주식회사,89962380,90.369,98130000
