공고번호,날짜,발주기관,공고명,1순위업체,사업자번호,대표자,투찰금액,투찰률,기초금액,A값,A값적용,예가하한,예가상한,참가업체수
R26BK01612668,2026-07-08,경기도교육청 경기도광명교육지원청,빛가온초 공간드림 환경개선 토목공사,유동건설(주),,,159376900,90.295,,,,,,
R26BK01614011,2026-07-08,전북특별자치도 정읍시,모정지원사업(태인면청석마을)(민간대행),주식회사 소재산업개발,,,22935000,90.367,,,,,,
R26BK01609622,2026-07-08,대전광역시교육청 대전광역시동부교육지원청,대전법동초 교사A동 내진보강 전기공사,주식회사 덕일건설전기,,,26747140,90.326,,,,,,
R26BK01613418,2026-07-08,재단법인 한국엘피지사업관리원,의령군 신기마을 LPG배관망 구축사업 시설공사,주식회사거산이엔지,,,457082871,90.386,,,,,,
R26BK01612155,2026-07-08,경기도 부천시 원미구,2026년 원미구(2권역) 2차 하수시설물 정비공사 (단가계약) 전자견적 제출 공고,(주)수연건설,,,200313000,90.401,,,,,,
R26BK01613459,2026-07-08,대전광역시교육청 대전광역시동부교육지원청,대전대룡초 외부환경개선공사,주식회사 에이치비텍,,,384140700,90.368,,,,,,
R26BK01613060,2026-07-08,강원특별자치도교육청 강원특별자치도원주교육지원청,섬강중 지하주차장 증축 전기공사  소액수의 안내공고,(주)삼진 이앤씨,,,127964000,90.392,,,,,,
R26BK01612772,2026-07-08,충청북도 단양군,상진 수변무대 조성사업(토목),엔케이삼풍건설 주식회사,,,396389000,90.396,,,,,,
R26BK01610141,2026-07-08,서울특별시교육청 서울특별시강서양천교육지원청,경서중 수영장 전면개선 전기공사,(주)에너지서베이,,,321763200,90.39,,,,,,
R26BK01618971,2026-07-07,국립공원공단 속리산국립공원사무소,쌍곡폭포 화장실 장애인경사로 설치 공사,성화금속(주),,,14396000,100.0,,,,,,
R26BK01613476,2026-07-08,대통령경호처,경호시설 개선공사(기계),(주)상신프렌트,,,170569148,90.008,,,,,,
R26BK01614505,2026-07-08,충청남도 보령시,소도 파라펫 설치공사,(주)보성건설,,,121274300,90.337,,,,,,
R26BK01612999,2026-07-08,강원특별자치도교육청 강원특별자치도원주교육지원청,미래고 인조잔디 운동장 조성공사  소액수의 안내공고,합자회사신우,,,356196660,90.418,,,,,,
R26BK01614606,2026-07-08,강원도 고성군산림조합,2026년 조림지 풀베기사업(2-3지구),주식회사 우리,,,97408000,90.827,,,,,,
R26BK01614183,2026-07-08,경기도 시흥시,안전한 통학로 조성공사(장현초),(주)다원건설,,,144254363,90.528,,,,,,
R26BK01614607,2026-07-08,경기도교육청 경기도부천교육지원청,송내고 체육관 화장실 개선공사,기건공영(주),,,191276819,90.304,,,,,,
R26BK01603812,2026-07-02,경상북도교육청 풍산고등학교,풍산고등학교 기숙사(학록2관) 외 2개동 외벽개선공사,주식회사 한남,,,199230330,90.29,,,,,,
R26BK01613669,2026-07-08,충청남도 천안시,대학인의 거리 백석대(중로1-28호) 조성공사,(주) 에스엘이엔씨,,,294855700,91.521,,,,,,
R26BK01613024,2026-07-08,경상국립대학교,"가좌캠퍼스 생활관6,7동 스프링클러설비 설치 소방공사",주식회사아림방재설비,,,923999860,90.241,,,,,,
R26BK01614060,2026-07-08,경상남도 창원시 마산회원구,2026년 마산회원구 하반기 교통신호기 유지보수 공사,주식회사 진명전력,,,58750717,90.288,,,,,,
R26BK01613064,2026-07-08,경기도양평교육청 조현초등학교,조현초등학교 교사동 중앙계단 안전개선 공사,지엘기술 주식회사,,,40905827,90.3,,,,,,
R26BK01613570,2026-07-08,충청북도 청주시,가압장 가압펌프 정비공사(남이면 수대리 가압장 신설),정미사,,,53306040,90.589,,,,,,
R26BK01612489,2026-07-08,경상남도 동부도로관리사업소,국도79호선 창녕부곡온정 배수시설 정비공사,주식회사 일심건설,,,64682000,90.795,,,,,,
R26BK01614171,2026-07-08,전남광주통합특별시 해남군,북평권역 복합다기능 부잔교 설치사업,(주)혁신,,,84314720,90.159,,,,,,
R26BK01546534,2026-07-08,한국지역난방공사,2026년 분당사업소 열수송시설 유지보수공사,삼보종합건설 주식회사,,,9370000000,89.491,,,,,,
